#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:aligned1" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:aligned1" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:aligned1" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:aligned1" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:aligned1" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:aligned1" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="Japan/SZ-NIG-Y223038/2022=2022,VNM/OUCRU-NHTD3617/2022=2022,KEN/C120125/2022=2022,Switzerland/GE-HUG-40509532/2023=2023,England/QEUH-326BE15A/2023=2023,USA/VI-CDC-2-6875014/2023=2023,Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2023,THA/CONI-3921/2022=2022,USA/AK-USAFSAM-S21082/2023=2023,BHR/660304023/2022=2022,USA/UT-CDC-VSX-A079256/2023=2023,NZL/22CH0368/2022=2022,USA/CA-CDC-STM-NBU4XHDMV/2022=2022,THA/CONI-3908/2022=2022,USA/NC-CDC-LC0895050/2022=2022,IRQ/BG-USAFSAM-S20950/2022=2022,CHN/CPL-12-52/2022=2022,USA/LA-CDC-QDX41868225/2022=2022,Japan/SZ-NIG-Y222450/2022=2022,BEL/HT-USAFSAM-S20836/2022=2022,LAO/LOMWRU-0853/2022=2022,KEN/SS11283/2022=2022,England/BRBR-32657988/2022=2022,SYC/SS10817/2022=2022,LAO/LOMWRU-0868/2022=2022,LAO/LOMWRU-0651/2022=2022,THA/CONI-3889/2022=2022,NZL/20CV0055/2020=2020,USA/VA-VTVAS3-GSC23203/2021=2021,Switzerland/BE-SRO-5000138287/2022=2022,Liechtenstein/FL-Risch-0926R13825/2022=2022,TWN/KMUH-33/2022=2022,Liechtenstein/FL-Risch-1219R15476/2022=2022,England/LSPA-325E464E/2022=2022,BHR/390105767/2022=2022,Japan/PG-250552/2022=2022,Switzerland/SG-Risch-1012R14178/2022=2022,USA/MN-CDC-QDX42000672/2022=2022,Liechtenstein/FL-Risch-0923R13838/2022=2022,LBY/59772-19/2022=2022,Switzerland/ZH-ETHZ-38004464/2022=2022,England/MILK-800BDA/2020=2020,England/BRBR-326ECF59/2023=2023,KEN/SS11076/2022=2022,BRA/DF-NXBS126GENOV827515027588/2021=2021,USA/NE-CDC-LC0925904/2022=2022,BHR/721051820/2022=2022,USA/SD-SDAIHG-1949/2022=2022,KEN/SS11118/2022=2022,USA/MD-CDC-QDX43329902/2022=2022">
#                        <taxa id="TaxonSet.aligned1" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.aligned1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:aligned1" name="distribution">
#            <parameter id="clockRate.c:aligned1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.8" name="distr">
#                <parameter estimate="false" id="RealParameter.60" name="M" spec="beast.base.inference.parameter.RealParameter">-5.0</parameter>
#                <parameter estimate="false" id="RealParameter.61" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:aligned1" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:aligned1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.15" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:aligned1" name="distribution">
#            <parameter id="kappa.s:aligned1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.7" name="distr">
#                <parameter estimate="false" id="RealParameter.57" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.58" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:aligned1" name="distribution" x="@popSize.t:aligned1">
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned1" id="treeLikelihood.aligned1" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned1">
#            <siteModel id="SiteModel.s:aligned1" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:aligned1" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned1" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned1" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:aligned1" kappa="@kappa.s:aligned1" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:aligned1" id="estimatedFreqs.s:aligned1" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned1" id="StrictClock.c:aligned1" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
23000	-6574.626030296718	-6384.074708045052	-190.55132225166687	-6384.074708045052	23.74897438059029	139.46037556973684	2.6364972919366673E-4	2.1212893008867244	0.3012825676941732	0.17660942100751995	0.1998019474936337	0.32230606380467325	16.138437617706195	-189.59406588980684
24000	-6559.508099688256	-6376.276819779536	-183.23127990872072	-6376.276819779536	17.577665743866405	114.86465760183412	3.160490604976563E-4	2.1212893008867244	0.3012825676941732	0.17660942100751995	0.1903497273512348	0.3317582839470722	19.29966318223158	-182.2793453257901
25000	-6557.220406227961	-6374.393928562416	-182.82647766554487	-6374.393928562416	17.500480006052953	113.56737369745129	3.218201913829063E-4	2.543516961734253	0.2789497042064684	0.18775196463275245	0.1999108429698599	0.3333874881909193	14.300145003210147	-182.02833521611274
26000	-6545.287446091244	-6379.218237109733	-166.06920898151085	-6379.218237109733	13.022295051824074	82.0060362367184	4.48491116141492E-4	4.213436781769692	0.3025439814346274	0.2022741400376126	0.17737883567365234	0.3178030428541076	11.21258183355801	-165.2284272066584
27000	-6537.851399557423	-6381.8684794439205	-155.98292011350236	-6381.8684794439205	14.167912835078376	78.29229932351774	4.3908794216619235E-4	3.9376757661004964	0.3083193564952274	0.1840909218545444	0.18448626913237562	0.32310345251785266	8.318254750638745	-155.5102307884533
28000	-6547.40427893881	-6387.364901686385	-160.03937725242545	-6387.364901686385	9.970189221213666	66.81831687353159	4.3908794216619235E-4	3.9376757661004964	0.3083193564952274	0.1840909218545444	0.18448626913237562	0.32310345251785266	9.057193535523147	-159.48158108688045
29000	-6550.919387403136	-6380.71798838919	-170.2013990139455	-6380.71798838919	15.209907641398777	94.93396760290844	4.3908794216619235E-4	3.9376757661004964	0.3083193564952274	0.1840909218545444	0.18448626913237562	0.32310345251785266	11.485999146664623	-169.40603332802888
30000	-6560.105342882857	-6379.307356979692	-180.79798590316543	-6379.307356979692	16.626715777828203	105.3346969530359	3.3671730101454683E-4	3.9376757661004964	0.3083193564952274	0.1840909218545444	0.18448626913237562	0.32310345251785266	11.101141621391728	-179.81566520367784
31000	-6572.022908356938	-6374.797168820808	-197.22573953613065	-6374.797168820808	26.45479322801268	156.27296761855945	2.2254815029447544E-4	4.203659531752758	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	19.53289636713599	-195.1612755023258
32000	-6575.267296323294	-6373.102207309323	-202.16508901397205	-6373.102207309323	24.327646838732214	166.5166266236457	2.0005843675599967E-4	4.203659531752758	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	22.09152605673575	-199.84790828131213
33000	-6584.532448979298	-6376.241840112591	-208.29060886670766	-6376.241840112591	27.72353414802112	174.84079082713242	1.9826946987326163E-4	3.3119649373351865	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	23.24600882154153	-206.19797241122942
34000	-6581.565739317382	-6383.869554400248	-197.69618491713476	-6383.869554400248	24.63215503195028	150.7797408919739	2.4142885858923423E-4	3.3119649373351865	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	16.826680603897756	-196.16178163797355
35000	-6576.525797577137	-6381.193142246865	-195.3326553302723	-6381.193142246865	20.60732143703062	138.7935391562411	2.444139603023658E-4	3.3119649373351865	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	18.177213497573383	-193.73489306140436
36000	-6567.535464558818	-6376.904230775841	-190.631233782977	-6376.904230775841	26.480632194328766	146.28897218351688	2.6091397587241075E-4	3.3119649373351865	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	14.069816825360263	-189.36158290601566
37000	-6552.478849088823	-6371.2364799047655	-181.24236918405742	-6371.2364799047655	23.688625100865337	126.46278486454167	3.2734673246050057E-4	3.3119649373351865	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	11.674884078175458	-180.3880129363219
38000	-6547.572304987493	-6363.821584746489	-183.75072024100436	-6363.821584746489	17.914075123818655	108.20192951347352	3.526905282318331E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	16.761611378674502	-182.9936817610595
39000	-6547.270280794904	-6368.537094451465	-178.7331863434382	-6368.537094451465	17.319022666463482	109.39015169142635	3.526905282318331E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	13.039184929961925	-178.2272800490641
40000	-6538.4183927778595	-6375.720691041993	-162.697701735867	-6375.720691041993	12.809679351096106	81.39548913030802	4.689901369036029E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	9.50884072699785	-162.73459933074753
41000	-6536.413118071161	-6367.799123597641	-168.61399447352025	-6367.799123597641	17.092277152988803	97.17478213002879	4.057848101903712E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	11.605888012666869	-168.34276067577755
42000	-6537.833178840644	-6370.037610674397	-167.79556816624694	-6370.037610674397	13.257569875976909	89.64180278347517	4.057848101903712E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	14.008511647788502	-167.33618180542112
43000	-6540.394712326168	-6363.494677708903	-176.90003461726553	-6363.494677708903	17.586898940049487	106.21233506085923	3.339314670233105E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	11.804518754960274	-176.4441180644516
44000	-6551.602049929016	-6377.130853685791	-174.4711962432247	-6377.130853685791	15.46171459403282	95.9940894082046	3.168102820411132E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	13.375659325738622	-173.8408628882501
45000	-6534.469658033901	-6369.712588003811	-164.75707003009055	-6369.712588003811	14.006606103790169	83.83522017589331	4.178568954632288E-4	2.241519088121635	0.29375515134107144	0.18392882087891604	0.18322784441546355	0.33908818336454905	10.761697075348671	-164.584480559812
