#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:aligned" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:aligned" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:aligned" spec="beast.base.evolution.tree.TraitSet" traitname="date">
#                                    Japan/SZ-NIG-Y223038/2022=2022,
#VNM/OUCRU-NHTD3617/2022=2022,
#KEN/C120125/2022=2022,
#Switzerland/GE-HUG-40509532/2023=2023,
#England/QEUH-326BE15A/2023=2023,
#USA/VI-CDC-2-6875014/2023=2023,
#Switzerland/BS-UHB-USB_2023_01_30_f6430886/2023=2023,
#THA/CONI-3921/2022=2022,
#USA/AK-USAFSAM-S21082/2023=2023,
#BHR/660304023/2022=2022,
#USA/UT-CDC-VSX-A079256/2023=2023,
#Canisfamiliaris/NAM/1256/2022=2022,
#NZL/22CH0368/2022=2022,
#USA/CA-CDC-STM-NBU4XHDMV/2022=2022,
#THA/CONI-3908/2022=2022,
#USA/NC-CDC-LC0895050/2022=2022,
#IRQ/BG-USAFSAM-S20950/2022=2022,
#CHN/CPL-12-52/2022=2022,
#USA/LA-CDC-QDX41868225/2022=2022,
#Japan/SZ-NIG-Y222450/2022=2022,
#BEL/HT-USAFSAM-S20836/2022=2022,
#LAO/LOMWRU-0853/2022=2022,
#KEN/SS11283/2022=2022,
#England/BRBR-32657988/2022=2022,
#SYC/SS10817/2022=2022,
#LAO/LOMWRU-0868/2022=2022,
#LAO/LOMWRU-0651/2022=2022,
#THA/CONI-3889/2022=2022,
#NZL/20CV0055/2020=2020,
#USA/VA-VTVAS3-GSC23203/2021=2021,
#OX352506=2506,
#Switzerland/BE-SRO-5000138287/2022=2022,
#Liechtenstein/FL-Risch-0926R13825/2022=2022,
#TWN/KMUH-33/2022=2022,
#Liechtenstein/FL-Risch-1219R15476/2022=2022,
#England/LSPA-325E464E/2022=2022,
#BHR/390105767/2022=2022,
#Japan/PG-250552/2022=2022,
#Switzerland/SG-Risch-1012R14178/2022=2022,
#USA/MN-CDC-QDX42000672/2022=2022,
#Liechtenstein/FL-Risch-0923R13838/2022=2022,
#OX451126=2022,
#LBY/59772-19/2022=2022,
#Switzerland/ZH-ETHZ-38004464/2022=2022,
#England/MILK-800BDA/2020=2020,
#England/BRBR-326ECF59/2023=2023,
#OX450918=2022,
#KEN/SS11076/2022=2022,
#BRA/DF-NXBS126GENOV827515027588/2021=2021,
#USA/NE-CDC-LC0925904/2022=2022                
#                                    <taxa id="TaxonSet.aligned supershort 100" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.aligned supershort 100"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:aligned" name="distribution" x="@birthRate.t:aligned">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:aligned" name="distribution">
#            <parameter id="clockRate.c:aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@aligned supershort 100" id="treeLikelihood.aligned supershort 100" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:aligned">
#            <siteModel id="SiteModel.s:aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:aligned" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:aligned" id="StrictClock.c:aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	clockRate
54000	-264554.41196294234	-264012.8296034775	-541.5823594648668	-264012.8296034775	74160.99275186734	1113452.8949114962	-541.5823594648668	4.178175404199748E-5	Infinity
55000	-264579.9164845272	-264012.8296034775	-567.0868810496935	-264012.8296034775	146413.99368811608	1849939.6877355943	-567.0868810496935	2.1084140407775003E-5	Infinity
56000	-264553.1593376163	-264012.8296034775	-540.3297341387791	-264012.8296034775	79944.49713867369	1080061.7752709794	-540.3297341387791	4.884190913700394E-5	Infinity
57000	-264542.9267816398	-264012.8296034775	-530.0971781623358	-264012.8296034775	88266.80412668348	853232.2206836132	-530.0971781623358	4.409864322831718E-5	Infinity
58000	-264576.17121451604	-264012.8296034775	-563.3416110385534	-264012.8296034775	125390.5838810087	1727179.0031490596	-563.3416110385534	2.3720006110543047E-5	Infinity
59000	-264560.23950962716	-264012.8296034775	-547.40990614968	-264012.8296034775	80907.29214211766	1255432.8058413677	-547.40990614968	3.608720673690558E-5	Infinity
60000	-264580.26887362706	-264012.8296034775	-567.4392701495386	-264012.8296034775	201251.44853565632	1900486.0397518054	-567.4392701495386	2.3815966913126644E-5	Infinity
61000	-264568.6138274313	-264012.8296034775	-555.7842239538028	-264012.8296034775	108118.85296691717	1491708.0886538578	-555.7842239538028	3.496910866691406E-5	Infinity
62000	-264572.9540706979	-264012.8296034775	-560.1244672203688	-264012.8296034775	112308.8372419124	1626062.2404145647	-560.1244672203688	2.6375056901374167E-5	Infinity
63000	-264547.52193313005	-264012.8296034775	-534.6923296525542	-264012.8296034775	85882.57541789819	954753.6499283989	-534.6923296525542	5.75617535249744E-5	Infinity
64000	-264543.52341114276	-264012.8296034775	-530.6938076652759	-264012.8296034775	76912.71612501379	886523.1620360469	-530.6938076652759	5.607498156362889E-5	Infinity
65000	-264523.5016112248	-264012.8296034775	-510.6720077472971	-264012.8296034775	46864.87477657042	560687.832443482	-510.6720077472971	1.0815961218082816E-4	Infinity
66000	-264561.15227827977	-264012.8296034775	-548.3226748022463	-264012.8296034775	154436.12352984666	1281730.2660966266	-548.3226748022463	3.779696957362283E-5	Infinity
67000	-264527.2253525254	-264012.8296034775	-514.3957490479245	-264012.8296034775	39846.97778311821	617114.7952146116	-514.3957490479245	6.24509973560923E-5	Infinity
68000	-264558.6236512842	-264012.8296034775	-545.7940478066913	-264012.8296034775	80665.48684461862	1214428.1811274372	-545.7940478066913	3.755375387814819E-5	Infinity
69000	-264536.89936532726	-264012.8296034775	-524.0697618497937	-264012.8296034775	64922.4150131811	772092.4645436166	-524.0697618497937	6.131177001357064E-5	Infinity
70000	-264487.65039621247	-264012.8296034775	-474.8207927349967	-264012.8296034775	18440.950040978	266429.69019243546	-474.8207927349967	1.5439190074612507E-4	Infinity
71000	-264534.52251667646	-264012.8296034775	-521.6929131989326	-264012.8296034775	45041.627586417264	733700.4164983899	-521.6929131989326	6.75506128646924E-5	Infinity
72000	-264615.169195217	-264012.8296034775	-602.33959173954	-264012.8296034775	261293.10086985872	3804522.222641241	-602.33959173954	1.597987223656111E-5	Infinity
73000	-264635.85327142465	-264012.8296034775	-623.0236679471816	-264012.8296034775	433316.7021332107	5931049.610498307	-623.0236679471816	9.232577009967087E-6	Infinity
74000	-264641.85830911685	-264012.8296034775	-629.0287056393373	-264012.8296034775	554681.1720500044	6753838.071633899	-629.0287056393373	7.1913818783134005E-6	Infinity
75000	-264724.70462618006	-264012.8296034775	-711.8750227025389	-264012.8296034775	2992156.178208585	3.661594582378569E7	-711.8750227025389	1.2325609391384875E-6	Infinity
76000	-264727.8541382888	-264012.8296034775	-715.0245348113516	-264012.8296034775	3076106.0601716405	3.916345729576837E7	-715.0245348113516	1.2201443485291941E-6	Infinity
77000	-264716.9100459149	-264012.8296034775	-704.0804424373849	-264012.8296034775	2863836.539688915	3.130028903511783E7	-704.0804424373849	1.4983759137879307E-6	Infinity
78000	-264721.6512975369	-264012.8296034775	-708.8216940594406	-264012.8296034775	2648935.562775313	3.333475219394058E7	-708.8216940594406	1.8908655465391775E-6	Infinity
79000	-264733.27069857606	-264012.8296034775	-720.441095098559	-264012.8296034775	3052534.8656230746	4.3702671589320906E7	-720.441095098559	1.177282521636692E-6	Infinity
80000	-264747.31880496425	-264012.8296034775	-734.4892014867332	-264012.8296034775	3749028.282678159	5.6765954532741554E7	-734.4892014867332	6.790373951138089E-7	Infinity
81000	-264703.0750114782	-264012.8296034775	-690.2454080006979	-264012.8296034775	1445864.0065559782	2.345254164198627E7	-690.2454080006979	2.343271893462272E-6	Infinity
